"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5585","Search for a non-existent equity","firefox","Fri Nov 21 03:23:16 UTC 2025","passed","Fri Nov 21 03:23:22 UTC 2025","Medirect Equities Search Tests","searchEquities.spec.ts","",""
"","2235","Navigate security types and check equities list","chromium","Fri Nov 21 03:22:58 UTC 2025","passed","Fri Nov 21 03:23:01 UTC 2025","Medirect Equities Search Tests","searchEquities.spec.ts","",""
"","9598","Search for a popular equity and click More Information","firefox","Fri Nov 21 03:23:08 UTC 2025","passed","Fri Nov 21 03:23:17 UTC 2025","Medirect Equities Search Tests","searchEquities.spec.ts","",""
"","2023","Search for a non-existent equity","chromium","Fri Nov 21 03:23:01 UTC 2025","passed","Fri Nov 21 03:23:03 UTC 2025","Medirect Equities Search Tests","searchEquities.spec.ts","",""
"","15785","Search for a popular equity and click More Information","webkit","Fri Nov 21 03:23:24 UTC 2025","passed","Fri Nov 21 03:23:40 UTC 2025","Medirect Equities Search Tests","searchEquities.spec.ts","",""
"","8125","Navigate security types and check equities list","webkit","Fri Nov 21 03:23:19 UTC 2025","passed","Fri Nov 21 03:23:27 UTC 2025","Medirect Equities Search Tests","searchEquities.spec.ts","",""
"","8316","Search for a popular equity and click More Information","chromium","Fri Nov 21 03:22:58 UTC 2025","passed","Fri Nov 21 03:23:07 UTC 2025","Medirect Equities Search Tests","searchEquities.spec.ts","",""
"","4504","Search for a non-existent equity","webkit","Fri Nov 21 03:23:40 UTC 2025","passed","Fri Nov 21 03:23:44 UTC 2025","Medirect Equities Search Tests","searchEquities.spec.ts","",""
"","2964","Navigate security types and check equities list","firefox","Fri Nov 21 03:23:03 UTC 2025","passed","Fri Nov 21 03:23:06 UTC 2025","Medirect Equities Search Tests","searchEquities.spec.ts","",""
